msa_id,msa_desc,county,center_city,central_county,notes
11700,"Asheville, NC",BUNCOMBE,ASHEVILLE,1,
11700,"Asheville, NC",HAYWOOD,ASHEVILLE,0,
11700,"Asheville, NC",HENDERSON,ASHEVILLE,0,
11700,"Asheville, NC",MADISON,ASHEVILLE,0,
15500,"Burlington, NC",ALAMANCE,BURLINGTON,1,
16740,"Charlotte-Concord-Gastonia, NC-SC",ANSON,CHARLOTTE,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",CABARRUS,CONCORD,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",GASTON,GASTONIA,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",IREDELL,CHARLOTTE,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",LINCOLN,CHARLOTTE,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",MECKLENBURG,CHARLOTTE,1,
16740,"Charlotte-Concord-Gastonia, NC-SC",ROWAN,CHARLOTTE,0,
16740,"Charlotte-Concord-Gastonia, NC-SC",UNION,CHARLOTTE,0,
20500,"Durham-Chapel Hill, NC",CHATHAM,CHAPEL HILL,0,
20500,"Durham-Chapel Hill, NC",DURHAM,CHAPEL HILL,1,dupe county to catch crossovers
20500,"Durham-Chapel Hill, NC",WAKE,DURHAM,1,dupe county to catch crossovers
20500,"Durham-Chapel Hill, NC",DURHAM,DURHAM,1,
20500,"Durham-Chapel Hill, NC",GRANVILLE,DURHAM,0,
20500,"Durham-Chapel Hill, NC",ORANGE,CHAPEL HILL,1,
20500,"Durham-Chapel Hill, NC",ORANGE,DURHAM,1,dupe county to catch crossovers
20500,"Durham-Chapel Hill, NC",PERSON,DURHAM,0,
22180,"Fayetteville, NC",CUMBERLAND,FAYETTEVILLE,1,
22180,"Fayetteville, NC",HARNETT,FAYETTEVILLE,0,
22180,"Fayetteville, NC",HOKE,FAYETTEVILLE,0,
24140,"Goldsboro, NC",WAYNE,GOLDSBORO,1,
24660,"Greensboro-High Point, NC",GUILFORD,GREENSBORO,1,
24660,"Greensboro-High Point, NC",GUILFORD,HIGH POINT,1,
24660,"Greensboro-High Point, NC",RANDOLPH,HIGH POINT,0,
24660,"Greensboro-High Point, NC",ROCKINGHAM,HIGH POINT,0,
24780,"Greenville, NC",PITT,GREENVILLE,1,
25860,"Hickory-Lenoir-Morganton, NC",ALEXANDER,HICKORY,0,
25860,"Hickory-Lenoir-Morganton, NC",BURKE,MORGANTON,1,
25860,"Hickory-Lenoir-Morganton, NC",CALDWELL,LENOIR,1,
25860,"Hickory-Lenoir-Morganton, NC",CATAWBA,HICKORY,1,
27340,"Jacksonville, NC",ONSLOW,JACKSONVILLE,1,
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",BRUNSWICK,NORTH MYRTLE BEACH,0,
35100,"New Bern, NC",CRAVEN,NEW BERN,1,
35100,"New Bern, NC",JONES,NEW BERN,0,
35100,"New Bern, NC",PAMLICO,NEW BERN,0,
39580,"Raleigh-Cary, NC",FRANKLIN,RALEIGH,0,
39580,"Raleigh-Cary, NC",JOHNSTON,RALEIGH,0,
39580,"Raleigh-Cary, NC",WAKE,RALEIGH,1,
39580,"Raleigh-Cary, NC",WAKE,CARY,1,dupe county to catch different city
40580,"Rocky Mount, NC",EDGECOMBE,ROCKY MOUNT,1,
40580,"Rocky Mount, NC",NASH,ROCKY MOUNT,1,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC ",CAMDEN,VIRGINIA BEACH,0,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC ",CURRITUCK,VIRGINIA BEACH,0,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC ",GATES,VIRGINIA BEACH,0,
48900,"Wilmington, NC",NEW HANOVER,WILMINGTON,1,
48900,"Wilmington, NC",PENDER,WILMINGTON,0,
49180,"Winston-Salem, NC",DAVIDSON,WINSTON SALEM,0,
49180,"Winston-Salem, NC",DAVIE,WINSTON SALEM,0,
49180,"Winston-Salem, NC",FORSYTH,WINSTON SALEM,1,
49180,"Winston-Salem, NC",STOKES,WINSTON SALEM,0,
49180,"Winston-Salem, NC",YADKIN,WINSTON SALEM,0,